"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "CSS", "SVG", "Properties", "comment", "blank", "total"
"c:\Users\willi\projects\Flixy\FlixyApp\.env", "Properties", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\willi\projects\Flixy\FlixyApp\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\willi\projects\Flixy\FlixyApp\accounts\accounts.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 1, 8, 28
"c:\Users\willi\projects\Flixy\FlixyApp\accounts\css-sign-in\components\footer.css", "CSS", 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"c:\Users\willi\projects\Flixy\FlixyApp\accounts\css-sign-in\components\form.css", "CSS", 0, 0, 0, 0, 71, 0, 0, 6, 23, 100
"c:\Users\willi\projects\Flixy\FlixyApp\accounts\css-sign-in\components\header.css", "CSS", 0, 0, 0, 0, 48, 0, 0, 2, 13, 63
"c:\Users\willi\projects\Flixy\FlixyApp\accounts\css-sign-in\global\boilerplate.css", "CSS", 0, 0, 0, 0, 78, 0, 0, 10, 17, 105
"c:\Users\willi\projects\Flixy\FlixyApp\accounts\css-sign-in\global\fonts.css", "CSS", 0, 0, 0, 0, 36, 0, 0, 9, 11, 56
"c:\Users\willi\projects\Flixy\FlixyApp\accounts\css-sign-in\global\logo.css", "CSS", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\willi\projects\Flixy\FlixyApp\accounts\css-sign-in\global\section.css", "CSS", 0, 0, 0, 0, 57, 0, 0, 11, 15, 83
"c:\Users\willi\projects\Flixy\FlixyApp\accounts\css-sign-in\global\sign-in-up.css", "CSS", 0, 0, 0, 0, 17, 0, 0, 1, 4, 22
"c:\Users\willi\projects\Flixy\FlixyApp\accounts\css-sign-in\style.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 6, 0, 14
"c:\Users\willi\projects\Flixy\FlixyApp\accounts\sign-in.html", "HTML", 0, 0, 62, 0, 0, 0, 0, 5, 11, 78
"c:\Users\willi\projects\Flixy\FlixyApp\accounts\sign-up.html", "HTML", 0, 0, 65, 0, 0, 0, 0, 2, 9, 76
"c:\Users\willi\projects\Flixy\FlixyApp\app.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 58, 26, 125
"c:\Users\willi\projects\Flixy\FlixyApp\assets\Rectangle 5.svg", "SVG", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\willi\projects\Flixy\FlixyApp\assets\flixy-logo-2.svg", "SVG", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\willi\projects\Flixy\FlixyApp\assets\flixy-logo.svg", "SVG", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\willi\projects\Flixy\FlixyApp\assets\left-arrow.svg", "SVG", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\willi\projects\Flixy\FlixyApp\assets\right-arrow.svg", "SVG", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\willi\projects\Flixy\FlixyApp\css\components\content-slider.css", "CSS", 0, 0, 0, 0, 151, 0, 0, 37, 63, 251
"c:\Users\willi\projects\Flixy\FlixyApp\css\components\featured.css", "CSS", 0, 0, 0, 0, 153, 0, 0, 24, 42, 219
"c:\Users\willi\projects\Flixy\FlixyApp\css\components\footer.css", "CSS", 0, 0, 0, 0, 27, 0, 0, 1, 4, 32
"c:\Users\willi\projects\Flixy\FlixyApp\css\components\header.css", "CSS", 0, 0, 0, 0, 48, 0, 0, 2, 15, 65
"c:\Users\willi\projects\Flixy\FlixyApp\css\components\review-slider.css", "CSS", 0, 0, 0, 0, 214, 0, 0, 86, 67, 367
"c:\Users\willi\projects\Flixy\FlixyApp\css\components\sign-in-form.css", "CSS", 0, 0, 0, 0, 152, 0, 0, 25, 49, 226
"c:\Users\willi\projects\Flixy\FlixyApp\css\global\boilerplate.css", "CSS", 0, 0, 0, 0, 77, 0, 0, 10, 19, 106
"c:\Users\willi\projects\Flixy\FlixyApp\css\global\fonts.css", "CSS", 0, 0, 0, 0, 36, 0, 0, 9, 11, 56
"c:\Users\willi\projects\Flixy\FlixyApp\css\global\logo.css", "CSS", 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
